"Category","Expected","VisibleResult","Result"
"Arms","482","482 results · page 1 / 17","PASS"
"Attachments","163","163 results · page 1 / 6","PASS"
"Backpacks","147","147 results · page 1 / 5","PASS"
"Bomb Racks","10","10 results · page 1 / 1","PASS"
"Bombs","3","3 results · page 1 / 1","PASS"
"Commodities","159","159 results · page 1 / 6","PASS"
"Consumables","12","12 results · page 1 / 1","PASS"
"Container","17","17 results · page 1 / 1","PASS"
"Coolers","75","75 results · page 1 / 3","PASS"
"Decorations","77","77 results · page 1 / 3","PASS"
"Docking Collars","7","7 results · page 1 / 1","PASS"
"Drinks","54","54 results · page 1 / 2","PASS"
"External Fuel Tanks","8","8 results · page 1 / 1","PASS"
"Eyewear","14","14 results · page 1 / 1","PASS"
"Fabricator","1","1 results · page 1 / 1","PASS"
"Flight Blade","80","80 results · page 1 / 3","PASS"
"Foods","102","102 results · page 1 / 4","PASS"
"Footwear","311","311 results · page 1 / 11","PASS"
"Full Set","112","112 results · page 1 / 4","PASS"
"Gadgets","6","6 results · page 1 / 1","PASS"
"Gloves","130","130 results · page 1 / 5","PASS"
"Guns","127","127 results · page 1 / 5","PASS"
"Harvestables","17","17 results · page 1 / 1","PASS"
"Hats","182","182 results · page 1 / 7","PASS"
"Helmets","660","660 results · page 1 / 22","PASS"
"Jackets","448","448 results · page 1 / 15","PASS"
"Jump Modules","3","3 results · page 1 / 1","PASS"
"Legs","468","468 results · page 1 / 16","PASS"
"Legwear","350","350 results · page 1 / 12","PASS"
"Life Support Generator","3","3 results · page 1 / 1","PASS"
"Liveries","1011","1,011 results · page 1 / 34","PASS"
"Mining Laser Heads","17","17 results · page 1 / 1","PASS"
"Mining Modules","27","27 results · page 1 / 1","PASS"
"Miscellaneous","321","321 results · page 1 / 11","PASS"
"Missile Racks","56","56 results · page 1 / 2","PASS"
"Missiles","55","55 results · page 1 / 2","PASS"
"Mobiglas","20","20 results · page 1 / 1","PASS"
"Module","21","21 results · page 1 / 1","PASS"
"Other","42","42 results · page 1 / 2","PASS"
"Personal Weapons","382","382 results · page 1 / 13","PASS"
"Point Defense Cannon","2","2 results · page 1 / 1","PASS"
"Power Plants","78","78 results · page 1 / 3","PASS"
"Quantum Drives","57","57 results · page 1 / 2","PASS"
"Radar","60","60 results · page 1 / 2","PASS"
"Salvage Beams","4","4 results · page 1 / 1","PASS"
"Scraper Beams","4","4 results · page 1 / 1","PASS"
"Shield Generators","67","67 results · page 1 / 3","PASS"
"Shirts","371","371 results · page 1 / 13","PASS"
"Surface","31","31 results · page 1 / 2","PASS"
"Torpedo Tubes","2","2 results · page 1 / 1","PASS"
"Torso","471","471 results · page 1 / 16","PASS"
"Tractor Beams","9","9 results · page 1 / 1","PASS"
"Turrets","35","35 results · page 1 / 2","PASS"
"Undersuits","195","195 results · page 1 / 7","PASS"
