"Category","Records","MissingNames","MissingIds","WithoutBundledImageOrUrl","DescriptionsNotCached","ManufacturerNotCached"
"Arms","482","0","0","181","482","194"
"Attachments","163","0","0","78","163","36"
"Backpacks","147","0","0","87","147","60"
"Bomb Racks","10","0","0","10","10","2"
"Bombs","3","0","0","0","3","0"
"Commodities","159","0","0","159","159","159"
"Consumables","12","0","0","4","12","3"
"Container","17","0","0","12","17","12"
"Cooler","74","0","0","10","0","0"
"Coolers","1","0","0","1","1","0"
"Decorations","77","0","0","65","77","71"
"Docking Collars","7","0","0","7","7","0"
"Drinks","54","0","0","13","54","37"
"External Fuel Tanks","8","0","0","8","8","0"
"Eyeware","14","0","0","5","14","9"
"Fabricator","1","0","0","1","1","0"
"Flight Blade","80","0","0","71","80","34"
"Foods","102","0","0","37","102","102"
"Footwear","311","0","0","86","311","79"
"Full Set","112","0","0","112","112","56"
"Gadgets","6","0","0","0","6","0"
"Gloves","130","0","0","77","130","64"
"Guns","127","0","0","26","127","11"
"Harvestables","17","0","0","17","17","17"
"Hats","182","0","0","77","182","85"
"Helmets","660","0","0","253","660","260"
"Jackets","448","0","0","167","448","141"
"Jump Modules","3","0","0","3","3","0"
"Legs","468","0","0","177","468","199"
"Legwear","350","0","0","124","350","157"
"Life Support Generator","3","0","0","3","3","3"
"Liveries","1011","0","0","883","1011","405"
"Mining Laser Heads","17","0","0","7","17","0"
"Mining Modules","27","0","0","1","27","1"
"Miscellaneous","321","0","0","251","321","282"
"Missile Racks","56","0","0","38","56","37"
"Missiles","55","0","0","28","55","3"
"Mobiglas","20","0","0","2","20","0"
"Module","21","0","0","21","21","0"
"Other","42","0","0","42","42","30"
"Personal Weapons","382","0","0","251","382","97"
"Point Defense Cannon","2","0","0","1","2","0"
"Power","78","0","0","7","0","0"
"Quantum Drive","57","0","0","2","0","0"
"Radar","60","0","0","60","60","4"
"Salvage Beams","4","0","0","4","4","0"
"Scraper Beams","4","0","0","1","4","0"
"Shield","67","0","0","9","0","0"
"Shirts","371","0","0","148","371","217"
"Surface","31","0","0","27","31","31"
"Torpedo Tubes","2","0","0","2","2","2"
"Torso","471","0","0","171","471","189"
"Tractor Beams","9","0","0","7","9","0"
"Turrets","35","0","0","25","35","15"
"Undersuits","195","0","0","52","195","76"
